PREFIX_EI_DM ,REF GM    ,TAB_CFG     ,TAB_TESTES ,TIPO_AMOSTRA	    ,PN VISTEON   ,Spare    ,DES_MODELO        ,PREFIX_EI ,DISPLAY   ,APLIQUE   ,SERVIÇO  ,SPARE_5  ,SPARE_6
SJY01        ,26271864  ,SJY01.CFG   ,SJY01.TXT  ,TESTE		    ,VPKSJF-DJ    ,-----    ,JBUA_Seg          ,SJY01     ,SEG       ,DF        ,NAO      ,         ,
SJY02        ,26271863  ,SJY02.CFG   ,SJY02.TXT  ,TESTE    	    ,VPKSJF-EJ    ,-----    ,JBUA_Mono         ,SJY02     ,MONO      ,LB        ,NAO      ,         ,
SJY03        ,26271865  ,SJY03.CFG   ,SJY03.TXT  ,TESTE		    ,VPKSJF-GJ    ,-----    ,JBUA_Seg          ,SJY03     ,SEG       ,DF        ,NAO      ,         ,
SJY04        ,26271867  ,SJY04.CFG   ,SJY04.TXT  ,TESTE    	    ,VPKSJF-HG    ,-----    ,JBUA_Seg          ,SJY04     ,SEG       ,DF        ,NAO      ,         ,
SJY11        ,26271866  ,SJY11.CFG   ,SJY11.TXT  ,TESTE    	    ,VPKSJF-AGF   ,-----    ,JBUA_Seg          ,SJY11     ,SEG       ,DF        ,NAO      ,         ,
SJY12        ,26290557  ,SJY12.CFG   ,SJY01.TXT  ,TESTE             ,VPKSJF-DK    ,-----    ,JBUA_Seg          ,SJY12     ,SEG       ,DF        ,NAO      ,         ,
SJY13        ,26290556  ,SJY13.CFG   ,SJY02.TXT  ,TESTE    	    ,VPKSJF-EK    ,-----    ,JBUA_Mono         ,SJY13     ,MONO      ,LB        ,NAO      ,         ,
SJY14        ,26290558  ,SJY14.CFG   ,SJY03.TXT  ,TESTE	            ,VPKSJF-GK    ,-----    ,JBUA_Seg          ,SJY14     ,SEG       ,DF        ,NAO      ,         ,
SJY15        ,26290559  ,SJY15.CFG   ,SJY04.TXT  ,TESTE    	    ,VPKSJF-AGG   ,-----    ,JBUA_Seg          ,SJY15     ,SEG       ,DF        ,NAO      ,         ,
SJY16        ,26298967  ,SJY16.CFG   ,SJY04.TXT  ,TESTE    	    ,VPKSJF-AEA   ,-----    ,JBUA_Seg          ,SJY16     ,SEG       ,DF        ,NAO      ,         ,
SJY17        ,26298968  ,SJY17.CFG   ,SJY04.TXT  ,TESTE    	    ,VPKSJF-AJA   ,-----    ,JBUA_Seg          ,SJY17     ,SEG       ,DF        ,NAO      ,         ,
SJY18        ,26298961  ,SJY18.CFG   ,SJY02.TXT  ,TESTE    	    ,VPKSJF-EL    ,-----    ,JBUA_Mono         ,SJY18     ,MONO      ,LB        ,NAO      ,         ,
SJY19        ,26298964  ,SJY19.CFG   ,SJY04.TXT  ,TESTE    	    ,VPKSJF-AGH   ,-----    ,JBUA_Seg          ,SJY19     ,SEG       ,DF        ,NAO      ,         ,
SJY20        ,26298962  ,SJY20.CFG   ,SJY01.TXT  ,TESTE             ,VPKSJF-DL    ,-----    ,JBUA_Seg          ,SJY20     ,SEG       ,DF        ,NAO      ,         ,
SJY21        ,26298963  ,SJY21.CFG   ,SJY03.TXT  ,TESTE	            ,VPKSJF-GL    ,-----    ,JBUA_Seg          ,SJY21     ,SEG       ,DF        ,NAO      ,         ,
SJY05        ,26306234  ,SJY05.CFG   ,SJY05.TXT  ,TESTE    	    ,VPKSJF-MJ    ,-----    ,JBUA_Mono         ,SJY05     ,MONO      ,LB        ,NAO      ,         , 
SJY06        ,26306235  ,SJY06.CFG   ,SJY06.TXT  ,TESTE    	    ,VPKSJF-SJ    ,-----    ,JBUC Mono chaplet ,SJY06     ,MONO      ,LB        ,NAO      ,         , 
SJY25        ,26306234  ,SJY25.CFG   ,SJY25.TXT  ,TESTE    	    ,VPKSJF-MK    ,-----    ,JBUA_Mono         ,SJY25     ,MONO      ,EE        ,NAO      ,         , 
SJY26        ,26306235  ,SJY26.CFG   ,SJY26.TXT  ,TESTE    	    ,VPKSJF-SK    ,-----    ,JBUC Mono chaplet ,SJY26     ,MONO      ,FE        ,NAO      ,         , 
SJY23        ,26306236  ,SJY23.CFG   ,SJY23.TXT  ,TESTE    	    ,VPKSJF-ABC   ,-----    ,JBUC Mono         ,SJY23     ,MONO      ,LB        ,NAO      ,         ,
SJY07        ,26306237  ,SJY07.CFG   ,SJY07.TXT  ,TESTE    	    ,VPKSJF-KJ    ,-----    ,JBUA_Mono         ,SJY07     ,MONO      ,LB        ,NAO      ,         , 
SJY27        ,26306237  ,SJY27.CFG   ,SJY27.TXT  ,TESTE    	    ,VPKSJF-KK    ,-----    ,JBUA_Mono         ,SJY27     ,MONO      ,HE        ,NAO      ,         , 
SJY22        ,26306238  ,SJY22.CFG   ,SJY22.TXT  ,TESTE    	    ,VPKSJF-AAC   ,-----    ,JBUA_Mono         ,SJY22     ,MONO      ,LB        ,NAO      ,         , 
SJY08        ,26306239  ,SJY08.CFG   ,SJY08.TXT  ,TESTE    	    ,VPKSJF-NJ    ,-----    ,JBUC Mono sta/stp ,SJY08     ,MONO      ,LB        ,NAO      ,         ,
SJY28        ,26306239  ,SJY28.CFG   ,SJY28.TXT  ,TESTE    	    ,VPKSJF-NK    ,-----    ,JBUC Mono sta/stp ,SJY28     ,MONO      ,RE        ,NAO      ,         ,
SJY09        ,26306240  ,SJY09.CFG   ,SJY09.TXT  ,TESTE    	    ,VPKSJF-RJ    ,-----    ,JBUA_color        ,SJY09     ,COLOR     ,LC        ,NAO      ,         ,
SJY29        ,26306240  ,SJY29.CFG   ,SJY29.TXT  ,TESTE    	    ,VPKSJF-RK    ,-----    ,JBUA_color        ,SJY29     ,COLOR     ,PE        ,NAO      ,         ,
SJY30        ,26306241  ,SJY30.CFG   ,SJY30.TXT  ,TESTE    	    ,VPKSJF-PK    ,-----    ,JBUA_color        ,SJY30     ,COLOR     ,NE        ,NAO      ,         ,
SJY10        ,26306241  ,SJY10.CFG   ,SJY10.TXT  ,TESTE    	    ,VPKSJF-PJ    ,-----    ,JBUA_color        ,SJY10     ,COLOR     ,LC        ,NAO      ,         ,
